date,time,home_team,away_team,score,match_url,Expected_goals_(xG)_home,Expected_goals_(xG)_away,Ball_possession_home,Ball_possession_away,Total_shots_home,Total_shots_away,Shots_on_target_home,Shots_on_target_away,Corner_kicks_home,Corner_kicks_away,Passes_home,Passes_away,Red_cards_home,Red_cards_away,Shots_off_target_home,Shots_off_target_away,Blocked_shots_home,Blocked_shots_away,Offsides_home,Offsides_away,Fouls_home,Fouls_away,Goalkeeper_saves_home,Goalkeeper_saves_away,Yellow_cards_home,Yellow_cards_away,Free_kicks_home,Free_kicks_away,Throw_ins_home,Throw_ins_away
02.10.2022,02:45,Empoli,AC Milan,1:3,https://www.flashscore.co.uk/match/football/d8NmYvDH/#/match-summary,,,43%,57%,16,19,4,6,3,7,"72%,(201/279)","79%,(298/377)",,,5,6,7,7,2,3,15,10,3,3,4,2,13,17,16,24
04.05.2023,03:00,AC Milan,Cremonese,1:1,https://www.flashscore.co.uk/match/football/WYuSuF7c/#/match-summary,1.65,1.00,74%,26%,18,6,5,2,10,0,"86%,(587/683)","65%,(156/240)",0,1,9,4,4,0,2,4,12,12,1,4,0,3,17,14,22,19
28.05.2023,18:30,Verona,Empoli,1:1,https://www.flashscore.co.uk/match/football/MqSJfxJI/#/match-summary,1.03,1.56,38%,62%,13,13,4,3,3,3,"68%,(207/304)","77%,(378/491)",,,7,8,2,2,3,1,14,10,2,3,4,0,12,17,17,24
21.08.2022,02:45,Sassuolo,Lecce,1:0,https://www.flashscore.co.uk/match/football/YVypiaI3/#/match-summary,,,59%,41%,12,7,3,1,5,4,"86%,(439/509)","84%,(279/334)",,,4,4,5,2,0,4,14,12,1,2,5,1,16,14,29,18
25.10.2022,00:30,Cremonese,Sampdoria,0:1,https://www.flashscore.co.uk/match/football/bw1ExFL0/#/match-summary,,,52%,48%,21,8,4,4,5,1,"76%,(289/381)","74%,(274/368)",,,11,3,6,1,4,2,16,15,3,4,3,4,16,20,29,22
28.01.2023,01:30,Bologna,Spezia,2:0,https://www.flashscore.co.uk/match/football/OdxzqW0N/#/match-summary,,,58%,42%,18,6,6,4,5,5,"81%,(450/556)","73%,(293/401)",,,7,0,5,2,4,2,8,16,4,4,2,2,25,16,22,22
23.04.2023,18:30,Empoli,Inter,0:3,https://www.flashscore.co.uk/match/football/dvKpbHOH/#/match-summary,0.94,1.17,39%,61%,11,16,3,4,5,4,"85%,(324/380)","90%,(544/604)",,,4,9,4,3,0,1,6,13,1,3,1,1,14,6,15,10
15.01.2023,22:00,Udinese,Bologna,1:2,https://www.flashscore.co.uk/match/football/EsBgl6L5/#/match-summary,,,51%,49%,20,15,4,2,6,4,"78%,(297/379)","74%,(270/365)",,,9,9,7,4,3,3,10,17,0,3,1,3,20,12,21,19
05.02.2023,03:45,Sassuolo,Atalanta,1:0,https://www.flashscore.co.uk/match/football/rLXsCUU9/#/match-summary,,,54%,46%,18,7,8,2,2,7,"86%,(455/528)","83%,(363/440)",0,2,4,4,6,1,0,2,12,13,2,7,5,1,15,12,18,24
03.06.2023,02:30,Sassuolo,Fiorentina,1:3,https://www.flashscore.co.uk/match/football/WUkGOGXb/#/match-summary,1.16,1.42,51%,49%,5,15,2,7,2,4,"86%,(376/439)","90%,(363/403)",2,0,1,5,2,3,4,5,7,15,4,1,4,4,20,11,13,11
12.03.2023,19:30,Lecce,Torino,0:2,https://www.flashscore.co.uk/match/football/v7kPoSHc/#/match-summary,0.55,0.07,55%,45%,13,4,1,2,9,1,"78%,(334/428)","73%,(265/363)",,,5,2,7,0,2,1,16,17,0,1,3,3,18,18,29,32
